cod_ibge,municipio,pop2016,govpop2015,mortalidade2015,tx_homicidios2015,despesa2016,enem_media2015,enem_desvpad2015,transf2016,ideb_i2015,ideb_f2015
292330,Ouriçangas,8895.0,0.04378323339744315,0.009345794392523364,0.0003394049100576988,,412.1803797468354,73.53815895699873,7809355.69,3.7,2.8
292420,Pedro Alexandre,18173.0,0.051392335263303016,0.005555555555555557,0.00011028398125172319,,417.99017857142854,67.0215425641709,15627210.98,3.5,3.4
292460,Pindobaçu,21191.0,0.05825657582375843,0.011857707509881422,0.00033235210331402525,42970522.82,424.0653746770024,69.88581538311905,19051519.88,4.5,3.7
292500,Planalto,26743.0,0.04013968158606188,0.01928374655647383,0.0004130369480324422,,447.4071138211384,83.43396434008329,20974783.44,4.3,3.5
292560,Presidente Dutra,15699.0,0.05077487765089723,0.012578616352201259,0.0006797172376291463,29860156.08,436.0911111111106,86.55637111372906,14364336.29,4.6,3.2
292590,Quijingue,28556.0,0.047565869830745074,0.01879699248120301,0.00020938754144128423,54934252.46,424.4078651685393,77.62936713763816,22913861.15,3.9,2.8
292830,Santanópolis,9232.0,0.04257572548188943,0.010752688172043013,0.000211819529760644,,416.8619047619049,67.20099426260813,7739431.55,3.9,2.9
292910,São Felipe,21935.0,0.04795663052543787,0.0047393364928909965,0.0004170141784820684,46519520.74,435.50471544715424,80.9613940282973,18286618.26,5.5,3.8
293040,Serra Preta,16171.0,0.048661324995114316,0.02564102564102564,0.00019542700801250727,39627265.97,423.85399239543716,73.97007939845464,14230395.11,3.8,3.2
293250,Una,21706.0,0.04320289527256277,0.016,0.000407147704139335,50671092.81,419.1805687203792,79.0255267195986,17652558.02,4.4,3.5
293310,Várzea do Poço,9404.0,0.04800339847068818,0.010526315789473684,0.00021240441801189462,16305599.32,430.109734513274,81.92442833468296,6721583.11,3.7,3.0
310070,?gua Comprida,2061.0,0.08575581395348837,,,,436.264705882353,61.213100529793365,1575749.63,6.2,
310080,Aguanil,4406.0,0.08855835240274601,0.0196078431372549,0.00022883295194508008,14702781.25,482.0373239436621,103.74173237786016,3340522.92,,5.5
310120,Aiuruoca,6224.0,0.04198717948717949,0.022727272727272728,0.00016025641025641026,13793967.15,476.3925619834711,86.73035720485386,1882357.44,6.4,
310140,Albertina,3040.0,0.07088691064952192,0.1111111111111111,,11479747.44,471.5214285714286,86.67883398687387,522499.57,7.0,5.3
310163,Alfredo Vasconcelos,6709.0,0.03690314806446754,,,13352219.11,481.4007352941177,109.35963402924723,1965267.46,6.4,
310200,Alterosa,14494.0,0.040737148399612025,0.011235955056179777,,28940282.78,487.32232558139503,100.6071550152707,5409457.38,6.7,5.3
310205,Alto Caparaó,5748.0,0.05313924938618029,0.024390243902439025,,14533422.01,473.7034782608697,85.80317534961209,2572512.46,6.0,
310220,Alvarenga,4245.0,0.06523765144454799,0.018518518518518517,0.00023299161230195712,13605568.42,496.4785714285714,110.30332511972401,2260051.53,,
310310,Antônio Prado de Minas,1670.0,0.09421586165772212,,,,510.2292682926828,90.54135586543435,1069497.45,,
310320,Araçaí,2361.0,0.15476190476190474,0.04,,10621461.06,432.0,79.05681501300191,1114109.42,5.9,5.3
310330,Aracitaba,2112.0,0.09659090909090907,0.0625,,9345012.85,501.64,103.82939787010694,856086.88,4.2,
310370,Araponga,8523.0,0.0312904364192448,,0.0002352664392424421,16754155.39,476.18726114649695,93.19661992200413,4254905.24,,
310380,Arapuá,2879.0,0.09182608695652174,,,12169683.55,486.1376068376069,101.77840171810699,1010877.83,8.0,
310430,Areado,14851.0,0.0310719131614654,,6.7842605156038e-05,24759492.86,483.3389189189185,101.95182322429035,2524857.63,6.8,
310445,Aricanduva,5156.0,0.04982415005861664,,0.00019538882375928096,12848065.7,467.1813725490196,82.05764181522446,2610433.26,5.9,
310460,Astolfo Dutra,14030.0,0.03896103896103896,0.024,7.175145296692258e-05,26719312.57,476.2936708860758,103.75145987346045,3432074.73,5.9,
310480,Augusto de Lima,5032.0,0.04542749454473319,,,14151268.11,468.288679245283,87.59472380575598,2434716.73,5.3,4.4
